Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"GENUINE LOT OF 5 X 512gb SSD SATA Hard Drive Samsung 850 Pro  NEW","Brand New",$196.50,Tim,0,5,39.3,2
"(Lot of 5) Samsung 256GB TLC 2280 M.2 SSD, Model # MZ-NLN256C (PM871b) HP Part","Brand New",$52.00,Tim,0,5,10.4,2
"~Lot of 20~ SSD 64GB Apple MacBook Air | Late 2010 - Mid-2011 | A1370 A1369",Pre-Owned,$199.99,0,0,20,9.9995,2
"Bulk lot 10 Samsung/Toshiba 512GB M.2  SSD NVMe  PCI Express 3.0 x4 2280 SSD","Open box",$699.50,0,0,10,69.95,2
"Lot of 10 Dell Hynix SC308 128GB M2 2280 Solid State Drive 0/XXHGF HFS128G39TND",Pre-Owned,$199.95,0,0,10,19.995,2
"LOT OF 10 - HP 628498-001, 128GB 2.5"" SSD MZ-7PA1280/0H1, MZ7PA128HMCD-010H1",Pre-Owned,$150.00,0,0,10,15,2
"~Lot of 10~ SSD SSUBX 128GB Apple MacBook Air Retina | 2015 - 2017",Pre-Owned,$399.99,0,0,10,39.999,2
"Lot of 10 Toshiba 256GB M.2 NVMe PCIE SSD DP/N: 0CC1D0 KXG50ZNV256G",Pre-Owned,$350.00,5.0,0,10,35,2
"Lot of 10 x Samsung M.2 NVMe PCIe 256GB SSD MZ-VLW2560 PM961 Solid State Drives",Pre-Owned,$340.00,5.0,0,10,34,2
"**Lot of 2** Kingston A2000 SA2000M8 500G SSD NVMe PCIe M.2 500 GB SA2000M8/500G","Brand New",$100.00,Tim,0,2,50,2
"Lot 4x Samsung MZ7LE1T0 850 EVO MZ-75E1T0 1TB SATA 6Gb/s 2.5"" 3D V-NAND SSD",Refurbished,$400.00,0,0,4,100,2
"Lot of 3 NEW SanDisk SSD PLUS 120GB SATA III 2.5"" 7mm SDSSDA-120G","Open box",$69.75,0,0,3,23.25,2
"(Lot of 7) Kingston 120GB SSD 2.5"" SATA III Solid State Drive - Tested - Wiped",Refurbished,$199.00,0,0,7,28.4285714285714,2
"OCZ Vertex III SSD (four Drives)  Kit With Lots Of Extras",Pre-Owned,$188.00,Tim,0,,-1,
"Lot of 2x HP Intel Pro SSD M.2 256GB 941765-001 SSDSCKKF256G8H Solid State Drive",Refurbished,$64.95,0,0,2,32.475,2
"10 X Innodisk 64GB SATADOM-SL 3IE3 Solid State Drive ( Lot of 10 )","Brand New",$315.00,0,0,10,31.5,2
"[LOT OF 17 UNITS] 1TB M.2 SSDs SAMSUNG WD HYNIX SANDISK TOSHIBA INTEL",Pre-Owned,"$1,359.95",0,0,17,79.9970588235294,2
"Lot of 10 DELL 1.92TB SATA 2.5"" 6Gb/s SSD Model-MZ-7KM1T9A  SM863 KNT26 400-AMHH",Pre-Owned,"$2,975.00",0,0,10,297.5,2
"Lot of 6 x INTEL HP SSD 120GB SSDSA2BW120G3H 2.5"" G34131-602 SATA 660218-002",Refurbished,$114.95,0,0,6,19.1583333333333,2
"4 X Innodisk 64GB SATADOM-SL 3IE3 Solid State Drive ( Lot of 4 )","Brand New",$149.00,Tim,0,4,37.25,2
"LOT OF 8  2.5"" SATA SSD Samsung/Intel/Crucial",Pre-Owned,$180.00,0,0,8,22.5,2
"60TB SSD Lot of 120 New 512GB SSD Samsung MZ-7LN512A PM871A 2.5"" 6Gb SATA 6G","Brand New","$9,800.00",0,0,120,81.6666666666667,2
"Lot of 10 Samsung 128GB 2.5 Solid State Hard Drive SSD MZ7PA128HMCD-010D1 TESTED",Pre-Owned,$199.95,0,0,10,19.995,2
"Kingston 2.5"" Sata 120GB Solid State Drive SA400S37/120G (lot of 5 drives)",Pre-Owned,$100.00,0,0,5,20,2
"(Mixed Lot of 4) EMC P/N 118032714 REV A02 200GB 100GB 6Gbps SATA 3.5'' SSD",Pre-Owned,$80.00,(Mi,0,4,20,2
"lot 2 Samsung Pm981 Fastest 1tb SSD Mzvlb1t00 EVO 3d TLC M.2 NVMe PCIe 970","Open box",$240.00,4.0,0,2,120,2
"lot 10x Toshiba 128GB SSD 2.5"" SATA 6Gb/s THNSNJ128GCSY SSD",Refurbished,$270.00,0,0,10,27,2
"Lot of 10 ( ten ) Samsung 512GB 840PRO 840 PRO SSD MZ-7PD512 Solid State Drive",Pre-Owned,$779.99,5.0,0,10,77.999,2
"Lot 50 Samsung 6.4TB PM1725 PCIe 3.0 NVMe 2.5"" Enterprise SSD Solid State Drive","Open box","$100,000.00",0,0,50,2000,2
"SanDisk X210 512GB SSD SD6SB2M512G1022I 2.5"" SATA III LOT OF 10",Pre-Owned,$500.00,0,0,10,50,2
"Lot of 2 x NEW HP Samsung 256GB PM981 NVMe M.2 SSD PCIe MZVLW256HAHQ L11634-001","Open box",$114.95,0,0,2,57.475,2
"Xmore Quality 60GB 2.5"" SATA SSD drive LOT of 4",Pre-Owned,$24.99,Tim,0,4,6.2475,2
"Lot of 8 SanDisk X110 128GB Solid State Disk 2.5"" SSD SATA III 6GB/s SD6SB1M-128",Pre-Owned,$136.00,Pre,0,8,17,2
"LOT OF 5 Wintec W2SS120G1TA: 120GB 2.5-inch SATA Solid state drive",Pre-Owned,$114.99,0,0,5,22.998,2
"Lot of 4 - Intel DC P3700 SSDPE2MD400G4 2.5"" U.2 NVMe 400GB SSD Retail Version","Open box",$299.00,Tim,0,4,74.75,2
"Lot of 10 LiteOn  LCS-128M6S 128GB 2.5"" SATA III Solid State Drive",Pre-Owned,$161.91,0,0,10,16.191,2
"Lot of 10 - Samsung 840 Pro 128GB 2.5 SSD DELL P/N 0P9P2T MZ7PD128HAFV / 1YR WTY",Refurbished,$234.99,0,0,10,23.499,2
"LOT OF 20 - HP 628498-001, 128GB 2.5"" SSD MZ-7PA1280/0H1, MZ7PA128HMCD-010H1",Pre-Owned,$300.00,0,0,20,15,2
"Lot of 10 - Intel SSD S3500 series 240GB SATA-2.5""-SSDSC2BB240G4",Pre-Owned,$345.00,0,0,10,34.5,2
